pop	dis	r2
pade	0	0.548854593607474
pade	1000	0.535858886486489
pade	2000	0.528102805731131
pade	3000	0.521973997931674
pade	4000	0.516827610654555
pade	5000	0.511388602436389
pade	6000	0.506482815221628
pade	7000	0.502693335421941
pade	8000	0.499360829276554
pade	9000	0.496674203911881
pade	10000	0.494868549975959
pade	11000	0.492137494292046
pade	12000	0.490024834725357
pade	13000	0.488280589497589
pade	14000	0.487463441857716
pade	15000	0.485985513998144
pade	16000	0.484631409674258
pade	17000	0.483159193171507
pade	18000	0.482737464568995
pade	19000	0.480950905572377
pade	20000	0.479502125632249
pade	21000	0.479351242038324
pade	22000	0.477944515513272
pade	23000	0.476793281861142
pade	24000	0.476204693085596
pade	25000	0.475308827519727
pade	26000	0.474948822396777
pade	27000	0.473651703711117
pade	28000	0.4733573714333
pade	29000	0.472585226808415
pade	30000	0.472452539121856
pade	31000	0.472114119566094
pade	32000	0.471810511529349
pade	33000	0.471236466059952
pade	34000	0.471083103587318
pade	35000	0.470916632889929
pade	36000	0.470843176007085
pade	37000	0.470358321776207
pade	38000	0.470101026334887
pade	39000	0.46992989022012
pade	40000	0.470020970648127
pade	41000	0.47027464851341
pade	42000	0.470004942727598
pade	43000	0.469871451742912
pade	44000	0.469586735118965
pade	45000	0.46956535441669
pade	46000	0.469400172463057
pade	47000	0.469061956262863
pade	48000	0.469368869915954
pade	49000	0.468432556733323
pade	50000	0.467993678221231
pade	51000	0.467925319928529
pade	52000	0.467610163436868
pade	53000	0.467465540346964
pade	54000	0.467517211513539
pade	55000	0.467189777123897
pade	56000	0.467182776515624
pade	57000	0.467092761520862
pade	58000	0.467107735489157
pade	59000	0.467210432836428
pade	60000	0.467011335728143
pade	61000	0.466592015162265
pade	62000	0.46580525985554
pade	63000	0.465780450159494
pade	64000	0.466023275192506
pade	65000	0.465033812814766
pade	66000	0.464913563441933
pade	67000	0.464538106120197
pade	68000	0.46423685242461
pade	69000	0.46417616157037
pade	70000	0.464101440895029
pade	71000	0.464457127899612
pade	72000	0.46377096190837
pade	73000	0.463674111136827
pade	74000	0.463720234130135
pade	75000	0.463551791808725
pade	76000	0.462678713240557
pade	77000	0.462583230262261
pade	78000	0.462061456825148
pade	79000	0.462680852704118
pade	80000	0.462165916390455
pade	81000	0.462759950116569
pade	82000	0.46282471354358
pade	83000	0.46201805820917
pade	84000	0.461860395936875
pade	85000	0.461900420069559
pade	86000	0.461584366636029
pade	87000	0.462153890365487
pade	88000	0.461468200381076
pade	89000	0.460838240698999
pade	90000	0.461196844013304
pade	91000	0.461103117307213
pade	92000	0.46128218077899
pade	93000	0.459976659203446
pade	94000	0.459501679506478
pade	95000	0.459431359750445
pade	96000	0.46007966277432
pade	97000	0.460312171943539
pade	98000	0.460599728589564
pade	99000	0.460664728116572
pade	100000	0.460674614925561
